Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,B365H,B365D,B365A,FTR
13/01/13,Arsenal,Man City,good,good,6,2,14.1,16.43,8.15,9.67,2.63,3.5,2.8,A
13/01/13,Man United,Liverpool,good,good,1,8,14.57,17.57,8.67,9.57,1.91,3.8,4.2,H
16/01/13,Chelsea,Southampton,good,good,3,13,14.67,11.52,8.71,6.0,1.25,6.5,15,D
19/01/13,Liverpool,Norwich,good,poor,8,11,17.32,10.32,9.36,5.32,1.33,5.5,10.5,H
19/01/13,Man City,Fulham,good,average,2,11,16.41,12.36,9.64,7.18,1.25,6.5,14,H
19/01/13,Newcastle,Reading,poor,good,13,15,13.05,9.0,6.86,4.73,1.75,4,5,A
19/01/13,Swansea,Stoke,good,poor,8,9,12.77,8.64,7.55,4.64,2.2,3.4,3.6,H
19/01/13,West Brom,Aston Villa,poor,poor,7,13,11.91,10.14,6.73,5.91,1.75,4,5,D
19/01/13,West Ham,QPR,average,average,9,15,11.19,12.14,6.48,6.73,2.1,3.5,3.75,D
19/01/13,Wigan,Sunderland,average,average,15,11,11.41,10.59,6.0,6.36,2.15,3.4,3.8,A
20/01/13,Chelsea,Arsenal,average,average,3,6,14.86,13.86,8.77,7.95,1.91,3.6,4,H
20/01/13,Tottenham,Man United,good,good,4,1,16.5,14.59,10.09,8.73,2.9,3.6,2.5,D
21/01/13,Southampton,Everton,good,average,13,5,11.32,15.73,5.86,8.95,3.6,3.5,2.05,D
23/01/13,Arsenal,West Ham,poor,average,6,10,13.77,11.68,7.95,6.77,1.44,4.75,8,H
29/01/13,Aston Villa,Newcastle,average,poor,16,15,10.17,13.13,5.96,7.0,2.9,3.4,2.6,A
29/01/13,QPR,Man City,good,good,18,2,12.0,16.57,6.7,9.7,7.5,4.5,1.5,D
29/01/13,Stoke,Wigan,poor,poor,9,17,8.57,11.78,4.52,6.22,2.2,3.3,3.75,D
29/01/13,Sunderland,Swansea,good,good,10,8,10.57,12.74,6.3,7.48,2.5,3.4,3,D
30/01/13,Arsenal,Liverpool,average,good,6,7,14.17,17.3,8.35,9.39,2.4,3.5,3.1,D
30/01/13,Everton,West Brom,good,poor,5,7,15.48,12.48,8.87,6.83,1.6,4.1,6.5,H
30/01/13,Fulham,West Ham,average,poor,12,10,11.96,11.48,6.87,6.7,2.2,3.5,3.5,H
30/01/13,Man United,Southampton,good,good,1,14,14.22,11.43,8.52,6.09,1.25,6.5,14,H
30/01/13,Norwich,Tottenham,poor,good,12,4,10.09,16.78,5.22,10.43,4.75,3.75,1.83,D
30/01/13,Reading,Chelsea,good,good,16,3,8.87,14.78,4.61,8.74,7.5,4.5,1.5,D
2/2/2013,Arsenal,Stoke,average,poor,6,9,14.17,8.58,8.25,4.5,1.44,4.5,9,H
2/2/2013,Everton,Aston Villa,good,poor,5,14,15.29,10.17,8.67,5.88,1.4,5,9,D
2/2/2013,Fulham,Man United,average,good,10,1,12.0,14.08,6.83,8.46,5.5,4.2,1.65,A
2/2/2013,Newcastle,Chelsea,average,good,12,3,13.0,14.75,7.0,8.58,4,3.6,2,H
2/2/2013,QPR,Norwich,average,average,15,11,11.71,10.0,6.54,5.17,1.95,3.6,4.33,D
2/2/2013,Reading,Sunderland,good,good,14,9,8.71,10.29,4.5,6.13,2.5,3.4,3,H
2/2/2013,West Ham,Swansea,poor,good,11,7,11.33,12.96,6.58,7.5,2.4,3.4,3.2,H
2/2/2013,Wigan,Southampton,average,average,14,12,11.75,11.83,6.21,6.25,2.2,3.5,3.5,D
3/2/2013,Man City,Liverpool,good,average,2,6,16.5,17.0,9.58,9.21,1.83,3.9,4.5,D
3/2/2013,West Brom,Tottenham,poor,average,7,4,12.25,16.58,6.71,10.29,3.6,3.4,2.2,A
