Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
7/3/2010,Everton,Hull,good,average,7,12,12.89,8.67,7.59,4.74,H,11,1.36,4.5,10,H
8/3/2010,Wigan,Liverpool,poor,average,12,4,13.04,13.11,6.78,7.54,A,-8,6.5,3.8,1.57,H
9/3/2010,Portsmouth,Birmingham,average,average,15,7,12.93,9.56,7.0,5.63,A,-4,2.38,3.25,3.1,A
9/3/2010,Sunderland,Bolton,average,good,12,10,9.81,12.57,5.41,6.39,D,-1,2.1,3.25,3.75,H
10/3/2010,Burnley,Stoke,poor,average,15,9,10.07,9.0,5.71,4.7,A,-11,2.5,3.3,2.88,D
13/03/10,Birmingham,Everton,good,good,6,7,9.57,13.07,5.64,7.68,A,-6,3,3.25,2.4,D
13/03/10,Bolton,Wigan,good,average,12,13,12.38,13.0,6.24,6.68,A,-4,2.1,3.3,3.6,H
13/03/10,Burnley,Wolves,poor,poor,15,15,10.07,10.18,5.62,5.68,A,-4,2.25,3.3,3.3,A
13/03/10,Chelsea,West Ham,average,average,2,14,18.89,12.75,10.18,7.21,D,2,1.22,6,15,H
13/03/10,Hull,Arsenal,poor,good,16,3,8.61,15.03,4.71,8.83,A,-10,7.5,4.5,1.4,A
13/03/10,Stoke,Aston Villa,average,good,9,5,8.96,11.15,4.64,6.08,D,-3,3.3,3.25,2.25,D
13/03/10,Tottenham,Blackburn,good,good,3,10,15.93,11.57,9.39,6.14,H,4,1.44,4.33,7.5,H
14/03/10,Man United,Fulham,good,good,2,9,16.48,10.71,9.31,5.86,H,6,1.22,6,15,H
14/03/10,Sunderland,Man City,average,good,13,4,9.89,11.59,5.46,6.26,D,-3,3.6,3.4,2.1,D
15/03/10,Liverpool,Portsmouth,average,average,5,17,13.03,12.86,7.38,7.04,H,9,1.25,5.5,13,H
16/03/10,Wigan,Aston Villa,average,good,14,6,13.0,11.11,6.69,6.04,A,-12,3.6,3.3,2.1,A
20/03/10,Arsenal,West Ham,good,poor,2,15,15.13,12.45,8.83,7.03,H,9,1.25,5.75,13,H
20/03/10,Aston Villa,Wolves,good,average,7,16,11.36,10.07,6.18,5.59,H,9,1.4,4.33,9,D
20/03/10,Everton,Bolton,average,good,8,12,13.07,12.23,7.79,6.23,H,6,1.53,3.8,7,H
20/03/10,Portsmouth,Hull,average,poor,17,16,12.66,8.55,6.9,4.62,D,-1,2.2,3.2,3.5,H
20/03/10,Stoke,Tottenham,average,good,10,4,9.1,15.86,4.69,9.31,A,-6,3.6,3.3,2.1,A
20/03/10,Sunderland,Birmingham,good,good,13,8,9.97,9.48,5.52,5.59,D,2,2.2,3.2,3.5,H
20/03/10,Wigan,Burnley,average,poor,13,15,12.9,10.47,6.67,5.8,D,2,1.73,3.6,5,H
21/03/10,Blackburn,Chelsea,average,good,11,3,11.52,19.0,6.17,10.34,A,-6,7.5,4.33,1.44,D
21/03/10,Fulham,Man City,average,good,9,6,10.62,11.64,5.83,6.36,D,-1,3.1,3.25,2.38,A
